title,author,date,publication_type,rejection_reason
Scientific American-February 2015,,2015,periodical,
"Skin and Ink-Issue 155, February 2015",,2015,periodical,
Skin And Ink-April 2015,,2015,periodical,
"Skin and Ink-June 2015, Issue 157",,2015,periodical,
Skin and Ink-October 2015,,2015,periodical,
Smithsonian-October 2015,,2015,periodical,
"Sports Illustrated-Swimsuit 2015, Winter 2015",,2015,periodical,
"Star “Celebrity News”-January 19, 2015",,2015,periodical,
"Star “Celebrity News”-February 23, 2015",,2015,periodical,
Super Street-The Best Tuner Mag Ever - February 2015,,2015,periodical,
"Surfing Magazine-Issue 03, 2015",,2015,periodical,
"Surfer Magazine, Photo Annual 2015-March",,2015,periodical,
The Art Of Seduction”,Robert Greene,2015,book,
The CARTEL 5 “La Bella Mafia”,Ashley and JaQuavis,2015,book,
"The Economist-February 28th-March 6th, 2015",,2015,periodical,
The 48 Laws of Power”,Robert Green,2015,book,
The Inner Art of Karate”,Kenji Tokitsu,2015,book,
The Interpretation of the Meanings of the Noble Qur’an” (Part 30 by Dr. Muhammad Muham Khan and Dr. Muhammad Taqui-ud-Din Al-Hilali),Dr. Muhammad Muham Khan and Dr. Muhammad Taqui-ud-Din Al-Hilali),2015,book,
The Noble Qur’an,,2015,book,
The Red Bulletin-November 2016,,2015,periodical,
"The Voice of the Anti-Imperialist Movement from Under Lock & Key (Publication of the Maoist Internationalist Ministry of Prisons) March/April 2015, No. 43",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-One, No. 3, Autumn 2014",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-One, No. 4, Winter 2014-2015",,2015,periodical,
"2600 The Hacker Quarterly-Volume Thirty-Two, No. 1, Spring 2015",,2015,periodical,
TVyNovelas-May 2015,,2015,periodical,
"Under Lock & Key-No. 38, May/June 2014",,2015,periodical,
"Under Lock & Key-No. 41, November/December 2014",,2015,periodical,
"Under Lock & Key-No. 45, July/August 2015",,2015,periodical,
"United Front - The Official Theoretical Journal of the Maoist Internationalist Movement, No. 14",,2015,book,
"Us Weekly-Issue 1033, December 1, 2014",,2015,periodical,
"Us Weekly-Issue 1058, January 5, 2015",,2015,periodical,
"Us Weekly-Issue 1042, February 2, 2015",,2015,periodical,
"Us Weekly-Issue 1045, February 23, 2015",,2015,periodical,
"Us Weekly-Issue 1046, March 2, 2015",,2015,periodical,
"Us Weekly-Issue 1047, March 9, 2015",,2015,periodical,
"Us Weekly-Issue 1049, March 23, 2015",,2015,periodical,
"Us Weekly-September 14, 2015",,2015,periodical,
Vogue-September 2015,,2015,periodical,
Vogue-October 2015,,2015,periodical,
W-March 2015,,2015,periodical,
Wahida Clark Presents the Catalog-January/March 2015,,2015,periodical,
WIRED-March 2015,,2015,periodical,
Health-May 2015,Women,2015,periodical,
XXI-Hip Hop On A Higher Level-Spring,,2015,book,
